,UTCDateTime,Pressao (mB),Temperatura (°C),Umidade (%),ur_correnteMotor,UR_KWH,UR_KWh_TR,UR_TEMP_ENTRADA,UR_TEMP_SAIDA,ur_temp_entrada_condensacao,ur_temp_saida_condensacao,temp_externa,TR,delta_AG,delta_AC,FimDeSemana,HorarioComercial,VAG Predio,Ligados
810,2023-06-22 15:00:00,1015.5,24.5,57.0,52.79999923706055,109.0,0.38023287057876587,13.899999618530273,6.900000095367432,25.299999237060547,27.799999237060547,28.25482177734375,286.66643111124836,6.999999523162842,2.5,0,1,39.3651931732893,80.55555555555556
811,2023-06-22 15:30:00,1015.05,25.45,53.0,56.0,117.0,0.4113691449165344,14.0,8.399999618530273,25.700000762939453,28.100000381469727,28.25482177734375,284.4160808991616,5.600000381469727,2.3999996185302734,0,1,40.16863771776358,80.55555555555556
812,2023-06-22 16:00:00,1014.6,25.8,53.0,44.900001525878906,89.0,0.4244906008243561,13.800000190734863,7.099999904632568,25.399999618530273,27.600000381469727,28.25482177734375,209.66306398107045,6.700000286102295,2.200000762939453,0,1,40.47839632795917,80.55555555555556
813,2023-06-22 16:30:00,1014.35,25.299999999999997,44.0,53.599998474121094,111.0,0.5879719853401184,13.800000190734863,7.0,25.600000381469727,27.700000762939453,28.553150177001953,188.78450464913038,6.800000190734863,2.1000003814697266,0,1,38.83568829132451,80.55555555555556
814,2023-06-22 17:00:00,1014.1,24.3,55.0,42.900001525878906,87.0,0.3990241587162018,13.800000190734863,7.199999809265137,26.0,28.299999237060547,28.402463912963867,218.03191135070364,6.600000381469727,2.299999237060547,0,0,38.49765906565719,80.55555555555556
815,2023-06-22 17:30:00,1014.0,24.1,59.0,40.5,77.0,0.35655465722084045,14.0,7.199999809265137,26.299999237060547,28.700000762939453,28.402463912963867,215.9556703036086,6.800000190734863,2.4000015258789062,0,0,38.304109220703445,80.55555555555556
816,2023-06-22 18:00:00,1013.9,23.4,63.0,50.0,105.0,0.4692499041557312,13.699999809265137,7.599999904632568,25.899999618530273,28.700000762939453,28.25306510925293,223.7613669605639,6.099999904632568,2.8000011444091797,0,0,38.02056118349234,80.55555555555556
817,2023-06-22 18:30:00,1013.8499999999999,22.85,63.5,59.20000076293945,122.0,0.41931289434432983,14.0,7.599999904632568,26.799999237060547,29.5,27.80467414855957,290.952178302956,6.400000095367432,2.700000762939453,0,0,38.51534628040261,80.55555555555556
818,2023-06-22 19:00:00,1013.8,22.3,65.0,51.79999923706055,106.0,0.38067561388015747,13.199999809265137,7.300000190734863,26.700000762939453,29.5,27.208515167236328,278.45229937258455,5.899999618530273,2.799999237060547,0,0,38.57776537703143,80.55555555555556
819,2023-06-22 19:30:00,1013.95,22.1,66.0,52.599998474121094,117.0,0.42357340455055237,14.0,7.199999809265137,26.799999237060547,29.200000762939453,26.457637786865234,276.22130838017796,6.800000190734863,2.4000015258789062,0,0,39.21704495449861,80.55555555555556
820,2023-06-22 20:00:00,1014.1,21.9,66.0,45.29999923706055,90.0,0.3790363371372223,13.699999809265137,7.199999809265137,26.100000381469727,28.5,25.55967140197754,237.44425318097498,6.5,2.3999996185302734,0,0,38.56775139934487,80.55555555555556
821,2023-06-22 20:30:00,1014.2,22.1,67.5,45.5,91.0,0.41610831022262573,13.699999809265137,7.199999809265137,25.200000762939453,27.600000381469727,24.810625076293945,218.6930608314775,6.5,2.3999996185302734,0,0,37.18215273982949,80.55555555555556
822,2023-06-22 21:00:00,1014.3,22.4,68.0,39.20000076293945,74.0,0.3735855221748352,13.399999618530273,7.199999809265137,25.200000762939453,27.299999237060547,24.661428451538086,198.08048119533004,6.199999809265137,2.0999984741210938,0,0,35.501466795802116,80.55555555555556
823,2023-06-22 21:30:00,1014.4000000000001,22.3,60.0,34.0,65.0,0.37943366169929504,13.300000190734863,7.199999809265137,25.399999618530273,27.299999237060547,24.512060165405273,171.3079427610541,6.100000381469727,1.8999996185302734,0,0,33.469571608636116,80.55555555555556
824,2023-06-22 22:00:00,1014.5,23.0,52.0,35.20000076293945,69.0,0.37731894850730896,13.199999809265137,7.099999904632568,25.299999237060547,27.5,24.36307716369629,182.86916221135237,6.099999904632568,2.200000762939453,0,0,32.34220490687423,80.55555555555556
825,2023-06-22 22:30:00,1014.55,22.55,53.0,38.599998474121094,79.0,0.41378915309906006,13.100000381469727,7.699999809265137,25.5,27.700000762939453,24.36307716369629,190.91848930386922,5.40000057220459,2.200000762939453,0,0,31.46907254556815,80.55555555555556
826,2023-06-22 23:00:00,1014.6,22.1,56.0,32.599998474121094,72.0,0.3946162760257721,13.0,8.0,25.799999237060547,28.200000762939453,24.212520599365234,182.45572819530062,5.0,2.4000015258789062,0,0,32.230919525027275,80.55555555555556
827,2023-06-22 23:30:00,1014.6500000000001,21.75,59.0,36.20000076293945,72.0,0.33711719512939453,12.600000381469727,8.5,25.700000762939453,28.200000762939453,24.06383514404297,213.57557858288567,4.100000381469727,2.5,0,0,29.638043488065403,72.22222222222223
